Feature,F-Statistic,p-value,Reject Null
Pct_Children_in_Poverty_a,0.6143617250839678,0.6067218448024926,False
Pct_Children_in_Poverty_b,0.6136752196636893,0.6071623527844064,False
Pct_Children_in_Poverty_c,0.6130417176763427,0.6075690371867866,False
Pct_Excessive_Drinking_a,4.764048636155111,0.003354395000546533,True
Pct_Excessive_Drinking_b,4.7648816978846975,0.0033508058321099726,True
Pct_Excessive_Drinking_c,4.765702557231728,0.003347273011096267,True
Pct_Smokers_a,1.9911702984949233,0.11778034733680515,False
Pct_Smokers_b,1.9924021133180605,0.11759790312651884,False
Pct_Smokers_c,1.9936428467156102,0.11741441499315267,False
Pct_Unemployed_a,10.045844336755863,4.541818945626227e-06,True
Pct_Unemployed_b,10.046865658686874,4.5362132621527615e-06,True
Pct_Unemployed_c,10.047847306045538,4.5308319337846985e-06,True
Pct_Uninsured_a,15.81673017301273,5.572353325723602e-09,True
Pct_Uninsured_b,15.818806884563108,5.55946597497852e-09,True
Pct_Uninsured_c,15.820885411888552,5.546597574910987e-09,True
ER_Visit_Rate-All_Other_Unintentional_Injury_a,35.54090903487025,2.1928904547212252e-17,True
ER_Visit_Rate-All_Other_Unintentional_Injury_b,35.56484576738994,2.1478876111172975e-17,True
ER_Visit_Rate-All_Other_Unintentional_Injury_c,35.5886700761354,2.104025123737599e-17,True
ER_Visit_Rate-Falls_a,29.293335209442997,6.028353185968264e-15,True
ER_Visit_Rate-Falls_b,29.2951971762709,6.017888166262096e-15,True
ER_Visit_Rate-Falls_c,29.29707505707618,6.007352345840734e-15,True
Injury_Death_Rate_a,3.651648241009513,0.014058167863537628,True
Injury_Death_Rate_b,3.6515284466883426,0.014060339644152665,True
Injury_Death_Rate_c,3.651396368409532,0.014062734512221169,True
Teen_Birth_Rate_a,8.366331391612734,3.542960769920334e-05,True
Teen_Birth_Rate_b,8.360894630419041,3.566866000143361e-05,True
Teen_Birth_Rate_c,8.35552585276453,3.5906322617918415e-05,True
Violent_Crime_Rate_a,1.030713765129121,0.38084995645592984,False
Violent_Crime_Rate_b,1.028971257949628,0.3816243060221798,False
Violent_Crime_Rate_c,1.0272359468842824,0.3823968176092489,False
